Linux 5.0.9-301.fc30.aarch64 (localhost.localdomain) 	2019-08-08 	_aarch64_	(4 CPU)

12:49:11        CPU     %user     %nice   %system   %iowait    %steal     %idle
12:49:12        all      0,00      0,00      1,00      0,00      0,00     99,00
12:49:13        all      0,00      0,00      1,25      0,00      0,00     98,75
12:49:14        all      0,00      0,00      1,00      0,00      0,00     99,00
12:49:15        all      0,25      0,00      1,00      0,00      0,00     98,75
12:49:16        all      0,00      0,00      1,50      0,00      0,00     98,50
12:49:17        all      0,25      0,00      1,49      0,00      0,00     98,26
12:49:18        all      0,00      0,00      1,50      0,00      0,00     98,50
12:49:19        all      0,25      0,00      1,00      0,00      0,00     98,75
12:49:20        all      0,00      0,00      1,50      0,00      0,00     98,50
12:49:21        all      1,25      0,00      3,25      0,00      0,00     95,50
12:49:22        all      0,00      0,00      2,01      0,00      0,00     97,99
12:49:23        all      2,75      0,00      4,75      1,00      0,00     91,50
12:49:24        all     19,75      0,00      3,54      1,27      0,00     75,44
12:49:25        all     24,25      0,00      1,75      0,00      0,00     74,00
12:49:26        all     23,23      0,00      2,78      0,00      0,00     73,99
12:49:27        all     23,31      0,00      2,76      0,75      0,00     73,18
12:49:28        all     24,56      0,00      1,75      0,00      0,00     73,68
12:49:29        all     24,31      0,00      1,50      0,00      0,00     74,19
12:49:30        all     24,06      0,00      2,26      0,00      0,00     73,68
12:49:31        all     24,43      0,00      1,51      0,00      0,00     74,06
12:49:32        all     24,62      0,00      1,51      0,00      0,00     73,87
12:49:33        all     24,37      0,00      2,01      0,00      0,00     73,62
12:49:34        all     24,19      0,00      2,24      0,00      0,00     73,57
12:49:35        all     24,24      0,00      1,52      0,00      0,00     74,24
12:49:36        all     24,06      0,00      2,26      0,00      0,00     73,68
12:49:37        all     24,81      0,00      2,01      0,00      0,00     73,18
12:49:38        all      5,83      0,00      5,10      0,00      0,00     89,08
12:49:39        all      0,00      0,00      1,99      0,00      0,00     98,01
12:49:40        all      0,00      0,00      1,00      0,00      0,00     99,00
12:49:41        all      0,00      0,00      1,01      0,00      0,00     98,99
12:49:42        all      0,00      0,00      1,00      0,00      0,00     99,00
12:49:43        all      0,00      0,00      1,00      0,00      0,00     99,00
12:49:44        all      0,00      0,00      1,01      0,00      0,00     98,99
12:49:45        all      0,00      0,00      0,75      0,00      0,00     99,25
12:49:46        all      0,00      0,00      1,01      0,00      0,00     98,99
12:49:47        all      0,00      0,00      1,00      0,00      0,00     99,00
12:49:48        all      0,00      0,00      1,25      0,00      0,00     98,75
12:49:49        all      0,00      0,00      1,00      0,00      0,00     99,00
12:49:50        all      0,00      0,00      1,00      0,00      0,00     99,00
12:49:51        all      0,00      0,00      0,76      0,00      0,00     99,24
12:49:52        all      0,00      0,00      1,00      0,00      0,00     99,00
12:49:53        all      0,00      0,00      1,25      0,00      0,00     98,75
12:49:54        all      0,00      0,00      1,25      0,00      0,00     98,75
12:49:55        all      0,00      0,00      1,01      0,00      0,00     98,99
12:49:56        all      0,00      0,00      1,00      0,00      0,00     99,00
12:49:57        all      0,00      0,00      1,00      0,00      0,00     99,00
12:49:58        all      0,00      0,00      1,00      0,00      0,00     99,00
12:49:59        all      0,00      0,00      1,01      0,00      0,00     98,99
12:50:00        all      0,00      0,00      1,01      0,00      0,00     98,99
12:50:01        all      0,00      0,00      1,00      0,00      0,00     99,00
12:50:02        all      0,00      0,00      1,01      0,00      0,00     98,99
12:50:03        all      0,00      0,00      1,00      0,00      0,00     99,00
12:50:04        all      0,00      0,00      0,75      0,00      0,00     99,25
12:50:05        all      0,00      0,00      1,00      0,00      0,00     99,00
12:50:06        all      0,00      0,00      1,01      0,25      0,00     98,74
12:50:07        all      0,00      0,00      1,00      0,00      0,00     99,00
12:50:08        all      0,00      0,00      1,01      0,00      0,00     98,99
12:50:09        all      0,00      0,00      1,00      0,00      0,00     99,00
12:50:10        all      0,00      0,00      1,25      0,00      0,00     98,75
12:50:11        all      0,00      0,00      0,76      0,00      0,00     99,24
Average:        all      5,74      0,00      1,50      0,05      0,00     92,71
